tconst,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,averageRating,numVotes,titleType,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes
tt0000005,1,nm0443482,actor,,"[""Blacksmith""]",Charles Kayser,1878,1966,6.2,2726,short,Blacksmith Scene,Blacksmith Scene,1893,,1
tt0000005,2,nm0653042,actor,,"[""Assistant""]",John Ott,1850,1931,6.2,2726,short,Blacksmith Scene,Blacksmith Scene,1893,,1
tt0000007,1,nm0179163,actor,,,James J. Corbett,1866,1933,5.4,848,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,1894,,1
tt0000007,2,nm0183947,actor,,,Peter Courtney,1867,1896,5.4,848,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,1894,,1
tt0000008,1,nm0653028,actor,,"[""Sneezing Man""]",Fred Ott,1860,1936,5.4,2173,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,1894,,1
tt0000009,1,nm0063086,actress,,"[""Miss Geraldine Holbrook (Miss Jerry)""]",Blanche Bayliss,1878,1951,5.3,209,movie,Miss Jerry,Miss Jerry,1894,,45
tt0000009,2,nm0183823,actor,,"[""Mr. Hamilton""]",William Courtenay,1875,1933,5.3,209,movie,Miss Jerry,Miss Jerry,1894,,45
tt0000009,3,nm1309758,actor,,"[""Chauncey Depew - the Director of the New York Central Railroad""]",Chauncey Depew,1834,1928,5.3,209,movie,Miss Jerry,Miss Jerry,1894,,45
tt0000011,1,nm3692297,actor,,"[""Acrobats""]",Grunato,,,5.2,382,short,Akrobatisches Potpourri,Akrobatisches Potpourri,1895,,1
tt0000014,1,nm0166380,actor,,"[""The Gardener""]",François Clerc,,,7.1,5754,short,The Waterer Watered,L'arroseur arrosé,1895,,1
tt0000014,2,nm0244989,actor,,"[""The Boy""]",Benoît Duval,1881,,7.1,5754,short,The Waterer Watered,L'arroseur arrosé,1895,,1
tt0000017,1,nm3691272,actor,,"[""The boy""]",Ploetz,,,4.6,339,short,Italienischer Bauerntanz,Italienischer Bauerntanz,1895,,1
